year,month,state,fips,dead
2000,01,Ohio,39,11075
2000,01,Oklahoma,40,3747
2000,01,Oregon,41,2866
2000,01,Pennsylvania,42,13512
2000,01,Rhode Island,44,1130
2000,01,South Carolina,45,3720
2000,01,South Dakota,46,741
2000,01,Tennessee,47,5576
2000,01,Texas,48,15683
2000,01,Utah,49,1166
2000,01,Vermont,50,559
2000,01,Virginia,51,5585
2000,01,Washington,53,4368
2000,01,West Virginia,54,2173
2000,01,Wisconsin,55,4822
2000,01,Wyoming,56,365
2000,02,Alabama,01,3932
2000,02,Alaska,02,211
2000,02,Arizona,04,3507
2000,02,Arkansas,05,2456
2000,02,California,06,18675
2000,02,Colorado,08,2241
2000,02,Connecticut,09,2598
2000,02,Delaware,10,590
2000,02,District of Columbia,11,520
2000,02,Florida,12,14205
2000,02,Georgia,13,5591
2000,02,Hawaii,15,676
2000,02,Idaho,16,755
2000,02,Illinois,17,8764
2000,02,Indiana,18,4588
2000,02,Iowa,19,2411
2000,02,Kansas,20,2101
2000,02,Kentucky,21,3391
2000,02,Louisiana,22,3459
2000,02,Maine,23,1124
2000,02,Maryland,24,3820
2000,02,Massachusetts,25,4974
2000,02,Michigan,26,7287
2000,02,Minnesota,27,3103
2000,02,Mississippi,28,2436
2000,02,Missouri,29,4654
2000,02,Montana,30,659
2000,02,Nebraska,31,1265
2000,02,Nevada,32,1223
2000,02,New Hampshire,33,822
2000,02,New Jersey,34,6364
2000,02,New Mexico,35,1112
2000,02,New York,36,13313
2000,02,North Carolina,37,6365
2000,02,North Dakota,38,459
2000,02,Ohio,39,9271
2000,02,Oklahoma,40,2885
2000,02,Oregon,41,2403
2000,02,Pennsylvania,42,11166
2000,02,Rhode Island,44,873
2000,02,South Carolina,45,3258
2000,02,South Dakota,46,607
2000,02,Tennessee,47,4710
2000,02,Texas,48,12636
2000,02,Utah,49,945
2000,02,Vermont,50,415
2000,02,Virginia,51,4934
2000,02,Washington,53,3627
2000,02,West Virginia,54,1820
2000,02,Wisconsin,55,3817
2000,02,Wyoming,56,300
2000,03,Alabama,01,3736
2000,03,Alaska,02,228
2000,03,Arizona,04,3510
2000,03,Arkansas,05,2305
2000,03,California,06,19876
2000,03,Colorado,08,2286
2000,03,Connecticut,09,2483
2000,03,Delaware,10,624
2000,03,District of Columbia,11,498
2000,03,Florida,12,13738
2000,03,Georgia,13,5233
2000,03,Hawaii,15,688
2000,03,Idaho,16,861
2000,03,Illinois,17,8646
2000,03,Indiana,18,4649
2000,03,Iowa,19,2376
2000,03,Kansas,20,2027
2000,03,Kentucky,21,3277
2000,03,Louisiana,22,3468
2000,03,Maine,23,1045
2000,03,Maryland,24,3675
2000,03,Massachusetts,25,4828
2000,03,Michigan,26,7154
2000,03,Minnesota,27,3067
2000,03,Mississippi,28,2423
2000,03,Missouri,29,4646
2000,03,Montana,30,718
2000,03,Nebraska,31,1281
2000,03,Nevada,32,1373
2000,03,New Hampshire,33,813
2000,03,New Jersey,34,6159
2000,03,New Mexico,35,1187
2000,03,New York,36,13277
2000,03,North Carolina,37,5923
2000,03,North Dakota,38,464
2000,03,Ohio,39,9280
2000,03,Oklahoma,40,2949
2000,03,Oregon,41,2506
2000,03,Pennsylvania,42,11183
2000,03,Rhode Island,44,837
2000,03,South Carolina,45,3075
2000,03,South Dakota,46,596
2000,03,Tennessee,47,4576
2000,03,Texas,48,12284
2000,03,Utah,49,1079
2000,03,Vermont,50,427
2000,03,Virginia,51,4784
2000,03,Washington,53,3745
2000,03,West Virginia,54,1819
2000,03,Wisconsin,55,3804
2000,03,Wyoming,56,350
2000,04,Alabama,01,3513
2000,04,Alaska,02,236
2000,04,Arizona,04,3270
2000,04,Arkansas,05,2187
2000,04,California,06,18085
2000,04,Colorado,08,2163
2000,04,Connecticut,09,2317
2000,04,Delaware,10,543
2000,04,District of Columbia,11,485
2000,04,Florida,12,13202
2000,04,Georgia,13,5154
2000,04,Hawaii,15,680
2000,04,Idaho,16,799
2000,04,Illinois,17,8591
2000,04,Indiana,18,4429
2000,04,Iowa,19,2250
2000,04,Kansas,20,1923
2000,04,Kentucky,21,3089
2000,04,Louisiana,22,3239
2000,04,Maine,23,959
2000,04,Maryland,24,3448
2000,04,Massachusetts,25,4471
2000,04,Michigan,26,6886
2000,04,Minnesota,27,2985
2000,04,Mississippi,28,2254
2000,04,Missouri,29,4324
2000,04,Montana,30,678
2000,04,Nebraska,31,1182
2000,04,Nevada,32,1263
2000,04,New Hampshire,33,739
2000,04,New Jersey,34,5919
2000,04,New Mexico,35,1043
2000,04,New York,36,12537
2000,04,North Carolina,37,5609
2000,04,North Dakota,38,442
