date,age,covid,all
2021-03,25-34,161,6344
2021-04,25-34,209,6398
2021-05,25-34,202,6742
2021-06,25-34,110,6550
2021-07,25-34,227,6920
2021-08,25-34,1160,8079
2021-09,25-34,1314,7959
2021-10,25-34,756,7279
2021-11,25-34,476,6476
2021-12,25-34,663,6912
2022-01,25-34,818,7132
2022-02,25-34,311,5879
2022-03,25-34,89,6291
2022-04,25-34,38,5906
2022-05,25-34,40,6062
2022-06,25-34,48,6088
2022-07,25-34,56,6478
2022-08,25-34,70,6349
2022-09,25-34,43,5993
2022-10,25-34,35,6064
2022-11,25-34,31,5820
2022-12,25-34,61,6307
2023-01,25-34,43,5964
2023-02,25-34,30,5234
2023-03,25-34,20,5839
2023-04,25-34,20,5576
2023-05,25-34,15,5907
2023-06,25-34,,5600
2023-07,25-34,,6065
2023-08,25-34,20,5803
2023-09,25-34,19,5424
2023-10,25-34,20,5414
2023-11,25-34,16,5160
2023-12,25-34,26,5436
2024-01,25-34,28,5202
2024-02,25-34,17,4730
2024-03,25-34,12,5015
2024-04,25-34,,4799
2024-05,25-34,,4515
2024-06,25-34,,2529
2018-01,35-44,,7055
2018-02,35-44,,6244
2018-03,35-44,,6745
2018-04,35-44,,6430
2018-05,35-44,,6602
2018-06,35-44,,6842
2018-07,35-44,,6923
2018-08,35-44,,6875
2018-09,35-44,,6656
2018-10,35-44,,6681
2018-11,35-44,,6551
2018-12,35-44,,6776
2019-01,35-44,,6981
2019-02,35-44,,6174
2019-03,35-44,,7059
2019-04,35-44,,6775
2019-05,35-44,,6920
2019-06,35-44,,6781
2019-07,35-44,,7043
2019-08,35-44,,7143
2019-09,35-44,,6887
2019-10,35-44,,6984
2019-11,35-44,,6891
2019-12,35-44,,7348
2020-01,35-44,,7552
2020-02,35-44,,6896
2020-03,35-44,219,7994
2020-04,35-44,1050,9003
2020-05,35-44,544,9238
2020-06,35-44,384,8607
2020-07,35-44,805,9874
2020-08,35-44,580,9390
2020-09,35-44,314,8503
2020-10,35-44,340,8669
2020-11,35-44,617,8945
2020-12,35-44,1224,9819
2021-01,35-44,1508,10566
2021-02,35-44,715,8629
2021-03,35-44,484,9295
2021-04,35-44,530,9322
2021-05,35-44,473,9485
2021-06,35-44,287,9405
2021-07,35-44,581,9936
2021-08,35-44,2876,12614
2021-09,35-44,3598,13038
2021-10,35-44,2010,11408
2021-11,35-44,1261,10219
2021-12,35-44,1683,11022
2022-01,35-44,1934,11592
