year,age,dead
2014,22,4026
2014,23,4070
2014,24,4223
2014,25,4251
2014,26,4341
2014,27,4235
2014,28,4477
2014,29,4621
2014,30,4520
2014,31,4941
2014,32,5019
2014,33,5220
2014,34,5552
2014,35,5619
2014,36,5636
2014,37,5844
2014,38,5883
2014,39,6343
2014,40,6623
2014,41,7553
2014,42,8244
2014,43,9234
2014,44,10017
2014,45,10556
2014,46,11364
2014,47,12554
2014,48,14231
2014,49,16311
2014,50,18270
2014,51,20421
2014,52,21956
2014,53,24346
2014,54,25908
2014,55,28051
2014,56,29933
2014,57,31901
2014,58,32920
2014,59,34365
2014,60,35873
2014,61,37408
2014,62,38416
2014,63,39584
2014,64,40357
2014,65,42483
2014,66,45515
2014,67,49563
2014,68,41939
2014,69,43334
2014,70,47141
2014,71,51823
2014,72,49968
2014,73,49514
2014,74,50261
2014,75,52656
2014,76,54585
2014,77,55707
2014,78,58174
2014,79,60950
2014,80,61601
2014,81,65248
2014,82,68593
2014,83,71613
2014,84,75377
2014,85,75170
2014,86,77478
2014,87,78051
2014,88,76060
2014,89,74780
2014,90,71973
2014,91,66551
2014,92,61854
2014,93,54506
2014,94,45482
2014,95,35490
2014,96,30013
2014,97,22852
2014,98,17388
2014,99,12664
2014,100,25914
2014,NA,163
2015,0,23455
2015,1,1591
2015,2,1007
2015,3,778
2015,4,589
2015,5,543
2015,6,516
2015,7,448
2015,8,464
2015,9,431
2015,10,441
2015,11,464
2015,12,518
2015,13,685
2015,14,901
2015,15,1091
2015,16,1474
2015,17,1978
2015,18,2584
2015,19,3059
2015,20,3366
2015,21,3844
2015,22,4155
2015,23,4339
2015,24,4604
2015,25,4756
2015,26,4556
2015,27,4739
2015,28,4750
2015,29,5097
2015,30,5107
2015,31,5216
2015,32,5586
2015,33,5758
2015,34,5952
2015,35,6090
2015,36,6192
2015,37,6221
2015,38,6445
2015,39,6469
2015,40,6884
2015,41,7380
2015,42,8115
2015,43,8889
2015,44,10403
2015,45,11021
2015,46,11790
2015,47,12298
2015,48,13736
2015,49,15532
2015,50,17818
2015,51,20016
2015,52,21940
2015,53,24006
2015,54,26337
2015,55,28045
2015,56,30058
2015,57,32277
2015,58,33972
2015,59,35237
2015,60,36716
2015,61,38234
2015,62,39710
2015,63,41518
2015,64,42018
2015,65,43483
2015,66,45670
2015,67,48530
2015,68,52702
2015,69,45097
2015,70,46843
2015,71,50803
2015,72,55719
2015,73,53435
2015,74,52734
2015,75,54414
2015,76,56057
2015,77,58627
2015,78,59218
2015,79,62089
2015,80,65302
2015,81,65249
2015,82,69053
2015,83,72140
2015,84,75417
2015,85,77552
2015,86,77703
2015,87,80152
2015,88,79067
2015,89,76273
2015,90,74664
2015,91,69645
2015,92,63052
2015,93,57440
2015,94,48995
2015,95,40328
2015,96,30693
2015,97,24717
2015,98,18506
2015,99,13384
2015,100,27530
2015,NA,138
2016,0,23161
2016,1,1568
2016,2,1046
2016,3,791
2016,4,640
2016,5,546
2016,6,488
2016,7,511
2016,8,483
2016,9,462
2016,10,465
2016,11,506
2016,12,534
2016,13,645
2016,14,863
2016,15,1170
2016,16,1580
2016,17,2055
2016,18,2816
2016,19,3191
2016,20,3503
2016,21,4182
2016,22,4382
2016,23,4722
2016,24,4974
2016,25,5303
2016,26,5274
2016,27,5463
2016,28,5594
2016,29,5419
2016,30,5685
2016,31,5918
2016,32,6124
2016,33,6241
2016,34,6595
2016,35,6786
