date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2022/1/16,10809,13097,35167,0,0,0,0,10525,12837,33394,0,0,0,0
2022/1/17,11045,10340,162164,0,0,0,0,10737,9998,152314,0,0,0,0
2022/1/18,11452,7599,213570,0,0,0,0,11086,7331,199894,0,0,0,0
2022/1/19,10742,5292,239198,0,0,0,0,10391,5091,223828,0,0,0,0
2022/1/20,10356,3761,239585,0,0,0,0,9982,3578,224177,0,0,0,0
2022/1/21,12179,6151,378096,0,0,0,0,11865,5975,362112,0,0,0,0
2022/1/22,27784,6996,286690,0,0,0,0,27352,6836,276450,0,0,0,0
2022/1/23,10023,3217,87239,0,0,0,0,9716,3162,82757,0,0,0,0
2022/1/24,10986,2488,267605,0,0,0,0,10655,2354,248050,0,0,0,0
2022/1/25,11058,4234,314521,0,0,0,0,10720,4088,289816,0,0,0,0
2022/1/26,10412,5939,333185,0,0,0,0,10079,5762,307130,0,0,0,0
2022/1/27,9610,6672,324814,0,0,0,0,9220,6371,300458,0,0,0,0
2022/1/28,19343,16180,450182,0,0,0,0,18876,15699,425422,0,0,0,0
2022/1/29,26259,27468,368838,0,0,0,0,25820,26944,351763,0,0,0,0
2022/1/30,9440,11130,169816,0,0,0,0,9278,10882,161456,0,0,0,0
2022/1/31,9582,2838,342695,0,0,0,0,9251,2700,317028,0,0,0,0
2022/2/1,12480,7387,649666,0,0,0,0,12009,7121,605257,0,0,0,0
2022/2/2,7124,7578,634801,0,0,0,0,6798,7245,589925,0,0,0,0
2022/2/3,9617,7482,640239,0,0,0,0,9226,7188,595451,0,0,0,0
2022/2/4,18645,16027,788689,0,0,0,0,18130,15589,741712,0,0,0,0
2022/2/5,25365,24484,733392,0,0,0,0,24945,23999,698893,0,0,0,0
2022/2/6,9429,9812,492632,0,0,0,0,9220,9519,470835,0,0,0,0
2022/2/7,11775,9668,791370,0,0,0,0,11349,9342,738869,0,0,0,0
2022/2/8,9833,10676,889607,0,0,0,0,9415,10290,828418,0,0,0,0
2022/2/9,9445,9791,876463,0,0,0,0,9046,9416,816012,0,0,0,0
2022/2/10,8982,10448,900662,0,0,0,0,8576,10041,845449,0,0,0,0
2022/2/11,4319,3169,386279,0,0,0,0,4226,3090,369832,0,0,0,0
2022/2/12,18085,26259,897689,0,0,0,0,17740,25857,858065,0,0,0,0
2022/2/13,7464,9304,619972,0,0,0,0,7259,9002,595302,0,0,0,0
2022/2/14,8057,10476,881509,0,0,0,0,7659,10138,825877,0,0,0,0
2022/2/15,9278,10902,981140,0,0,0,0,8858,10509,917806,0,0,0,0
2022/2/16,9092,9505,947437,0,0,0,0,8654,9136,886121,0,0,0,0
2022/2/17,8545,9060,938927,0,0,0,0,8125,8655,880756,0,0,0,0
2022/2/18,15469,19608,1091389,0,0,0,0,14964,19053,1033694,0,0,0,0
2022/2/19,20238,25646,1056717,0,0,0,0,19781,25167,1015002,0,0,0,0
2022/2/20,8632,8917,738906,0,0,0,0,8399,8751,712835,0,0,0,0
2022/2/21,7687,9753,932354,0,0,0,0,7327,9373,879760,0,0,0,0
