year,week,age,dead
2011,19,45,33
2011,19,50,61
2011,19,55,107
2011,19,60,170
2011,19,65,216
2011,19,70,200
2011,19,75,273
2011,19,80,367
2011,19,85,340
2011,19,90,167
2011,20,0,4
2011,20,5,1
2011,20,10,0
2011,20,15,3
2011,20,20,4
2011,20,25,4
2011,20,30,14
2011,20,35,11
2011,20,40,18
2011,20,45,44
2011,20,50,59
2011,20,55,113
2011,20,60,163
2011,20,65,202
2011,20,70,188
2011,20,75,261
2011,20,80,381
2011,20,85,321
2011,20,90,166
2011,21,0,4
2011,21,5,0
2011,21,10,0
2011,21,15,4
2011,21,20,5
2011,21,25,11
2011,21,30,14
2011,21,35,18
2011,21,40,22
2011,21,45,38
2011,21,50,58
2011,21,55,91
2011,21,60,164
2011,21,65,190
2011,21,70,188
2011,21,75,276
2011,21,80,310
2011,21,85,340
2011,21,90,159
2011,22,0,16
2011,22,5,0
2011,22,10,1
2011,22,15,1
2011,22,20,7
2011,22,25,8
2011,22,30,14
2011,22,35,22
2011,22,40,20
2011,22,45,37
2011,22,50,53
2011,22,55,110
2011,22,60,183
2011,22,65,184
2011,22,70,174
2011,22,75,245
2011,22,80,362
2011,22,85,325
2011,22,90,158
2011,23,0,7
2011,23,5,1
2011,23,10,3
2011,23,15,8
2011,23,20,6
2011,23,25,6
2011,23,30,10
2011,23,35,11
2011,23,40,19
2011,23,45,43
2011,23,50,62
2011,23,55,100
2011,23,60,184
2011,23,65,177
2011,23,70,192
2011,23,75,275
2011,23,80,326
2011,23,85,327
2011,23,90,174
2011,24,0,3
2011,24,5,1
2011,24,10,0
2011,24,15,1
2011,24,20,13
2011,24,25,5
2011,24,30,5
2011,24,35,12
2011,24,40,23
2011,24,45,38
2011,24,50,46
2011,24,55,128
2011,24,60,193
2011,24,65,174
2011,24,70,193
2011,24,75,246
2011,24,80,336
2011,24,85,308
2011,24,90,153
2011,25,0,5
2011,25,5,1
2011,25,10,1
2011,25,15,1
2011,25,20,6
2011,25,25,9
2011,25,30,12
2011,25,35,20
2011,25,40,29
2011,25,45,43
2011,25,50,66
2011,25,55,101
2011,25,60,166
2011,25,65,170
2011,25,70,201
2011,25,75,244
2011,25,80,337
2011,25,85,296
2011,25,90,160
2011,26,0,7
2011,26,5,1
2011,26,10,3
2011,26,15,9
2011,26,20,6
2011,26,25,7
2011,26,30,15
2011,26,35,28
2011,26,40,29
2011,26,45,29
2011,26,50,50
2011,26,55,93
2011,26,60,184
2011,26,65,212
2011,26,70,192
2011,26,75,265
2011,26,80,368
2011,26,85,277
2011,26,90,161
2011,27,0,7
2011,27,5,1
2011,27,10,1
2011,27,15,4
2011,27,20,8
2011,27,25,11
2011,27,30,10
2011,27,35,25
2011,27,40,19
2011,27,45,49
2011,27,50,49
2011,27,55,131
2011,27,60,171
2011,27,65,205
2011,27,70,194
2011,27,75,283
2011,27,80,331
2011,27,85,308
2011,27,90,141
2011,28,0,10
2011,28,5,0
2011,28,10,4
2011,28,15,1
2011,28,20,11
2011,28,25,10
2011,28,30,19
2011,28,35,23
2011,28,40,21
2011,28,45,27
2011,28,50,70
2011,28,55,102
2011,28,60,172
2011,28,65,196
2011,28,70,209
2011,28,75,264
2011,28,80,391
2011,28,85,333
2011,28,90,170
2011,29,0,5
2011,29,5,2
2011,29,10,1
2011,29,15,5
2011,29,20,10
2011,29,25,5
2011,29,30,9
2011,29,35,17
2011,29,40,23
2011,29,45,37
2011,29,50,49
2011,29,55,101
2011,29,60,160
2011,29,65,203
2011,29,70,176
2011,29,75,252
2011,29,80,310
2011,29,85,351
2011,29,90,143
2011,30,0,6
2011,30,5,2
2011,30,10,1
2011,30,15,2
2011,30,20,10
2011,30,25,8
2011,30,30,10
2011,30,35,17
2011,30,40,19
2011,30,45,49
