month_of_death,age_at_death,last_dose_number,days_between_last_vaccination_and_death,count
2022-04,41_to_60,1,<=_365,<5
2022-04,41_to_60,1,<=_90,5
2022-04,41_to_60,2,<=_180,53
2022-04,41_to_60,2,<=_30,<5
2022-04,41_to_60,2,<=_365,19
2022-04,41_to_60,2,<=_90,5
2022-04,41_to_60,3,<=_180,52
2022-04,41_to_60,3,<=_30,<5
2022-04,41_to_60,3,<=_90,109
2022-04,41_to_60,4,<=_30,<5
2022-04,41_to_60,4,<=_90,<5
2022-04,61_to_80,0,NA,91
2022-04,61_to_80,1,<=_180,10
2022-04,61_to_80,1,<=_30,<5
2022-04,61_to_80,1,<=_365,<5
2022-04,61_to_80,1,<=_90,<5
2022-04,61_to_80,2,<=_180,95
2022-04,61_to_80,2,<=_30,<5
2022-04,61_to_80,2,<=_365,80
2022-04,61_to_80,2,<=_90,13
2022-04,61_to_80,3,<=_180,384
2022-04,61_to_80,3,<=_30,29
2022-04,61_to_80,3,<=_365,<5
2022-04,61_to_80,3,<=_90,420
2022-04,61_to_80,4,<=_30,16
2022-04,61_to_80,4,<=_90,22
2022-04,81_to_100,0,NA,98
2022-04,81_to_100,1,<=_180,6
2022-04,81_to_100,1,<=_30,<5
2022-04,81_to_100,1,<=_365,8
2022-04,81_to_100,1,<=_90,5
2022-04,81_to_100,2,<=_180,72
2022-04,81_to_100,2,<=_30,<5
2022-04,81_to_100,2,<=_365,75
2022-04,81_to_100,2,<=_90,13
2022-04,81_to_100,3,<=_180,640
2022-04,81_to_100,3,<=_30,22
2022-04,81_to_100,3,<=_90,593
2022-04,81_to_100,4,<=_30,<5
2022-04,81_to_100,4,<=_90,<5
2022-05,0_to_20,0,NA,75
2022-05,0_to_20,1,<=_180,<5
2022-05,0_to_20,1,<=_90,<5
2022-05,0_to_20,2,<=_180,<5
2022-05,0_to_20,2,<=_30,<5
2022-05,0_to_20,2,<=_365,7
2022-05,0_to_20,3,<=_180,<5
2022-05,0_to_20,3,<=_90,<5
2022-05,100+,0,NA,<5
2022-05,100+,2,<=_180,5
2022-05,100+,3,<=_180,13
2022-05,100+,3,<=_90,<5
2022-05,21_to_40,0,NA,12
2022-05,21_to_40,1,<=_180,<5
2022-05,21_to_40,1,<=_365,<5
2022-05,21_to_40,2,<=_180,15
2022-05,21_to_40,2,<=_365,9
2022-05,21_to_40,2,<=_90,<5
2022-05,21_to_40,3,<=_180,11
2022-05,21_to_40,3,<=_90,16
2022-05,41_to_60,0,NA,56
2022-05,41_to_60,1,<=_180,<5
2022-05,41_to_60,1,<=_365,<5
2022-05,41_to_60,2,<=_180,40
2022-05,41_to_60,2,<=_365,57
2022-05,41_to_60,2,<=_90,6
2022-05,41_to_60,3,<=_180,129
