age,date,year,week,dead
75,2022-01-01,2021,52,1810
75,2022-01-08,2022,1,1971
75,2022-01-15,2022,2,2141
75,2022-01-22,2022,3,2109
75,2022-01-29,2022,4,2123
75,2022-02-05,2022,5,2099
75,2022-02-12,2022,6,2099
75,2022-02-19,2022,7,1901
75,2022-02-26,2022,8,1682
75,2022-03-05,2022,9,1685
75,2022-03-12,2022,10,1662
75,2022-03-19,2022,11,1607
75,2022-03-26,2022,12,1472
75,2022-04-02,2022,13,1574
75,2022-04-09,2022,14,1560
75,2022-04-16,2022,15,1527
75,2022-04-23,2022,16,1597
75,2022-04-30,2022,17,1574
75,2022-05-07,2022,18,1546
75,2022-05-14,2022,19,1550
75,2022-05-21,2022,20,1571
75,2022-05-28,2022,21,1516
75,2022-06-04,2022,22,1587
75,2022-06-11,2022,23,1525
75,2022-06-18,2022,24,1510
75,2022-06-25,2022,25,1571
75,2022-07-02,2022,26,1588
75,2022-07-09,2022,27,1580
75,2022-07-16,2022,28,1666
75,2022-07-23,2022,29,1633
75,2022-07-30,2022,30,1657
75,2022-08-06,2022,31,1576
75,2022-08-13,2022,32,1577
75,2022-08-20,2022,33,1584
75,2022-08-27,2022,34,1564
75,2022-09-03,2022,35,1600
75,2022-09-10,2022,36,1523
75,2022-09-17,2022,37,1586
75,2022-09-24,2022,38,1620
75,2022-10-01,2022,39,1604
75,2022-10-08,2022,40,1662
75,2022-10-15,2022,41,1631
75,2022-10-22,2022,42,1680
75,2022-10-29,2022,43,1676
75,2022-11-05,2022,44,1695
75,2022-11-12,2022,45,1656
75,2022-11-19,2022,46,1689
75,2022-11-26,2022,47,1821
75,2022-12-03,2022,48,1872
75,2022-12-10,2022,49,1741
75,2022-12-17,2022,50,1823
75,2022-12-24,2022,51,1715
75,2022-12-31,2022,52,1863
75,2023-01-07,2023,1,1837
75,2023-01-14,2023,2,1803
75,2023-01-21,2023,3,1672
75,2023-01-28,2023,4,1597
75,2023-02-04,2023,5,1667
75,2023-02-11,2023,6,1617
75,2023-02-18,2023,7,1609
75,2023-02-25,2023,8,1570
75,2023-03-04,2023,9,1633
75,2023-03-11,2023,10,1574
75,2023-03-18,2023,11,1628
75,2023-03-25,2023,12,1555
75,2023-04-01,2023,13,1456
75,2023-04-08,2023,14,1506
75,2023-04-15,2023,15,1464
75,2023-04-22,2023,16,1476
75,2023-04-29,2023,17,1531
75,2023-05-06,2023,18,1559
75,2023-05-13,2023,19,1494
75,2023-05-20,2023,20,1384
75,2023-05-27,2023,21,1448
75,2023-06-03,2023,22,1440
75,2023-06-10,2023,23,1467
75,2023-06-17,2023,24,1359
75,2023-06-24,2023,25,1378
75,2023-07-01,2023,26,1404
75,2023-07-08,2023,27,1353
75,2023-07-15,2023,28,1451
75,2023-07-22,2023,29,1400
75,2023-07-29,2023,30,1455
75,2023-08-05,2023,31,1398
75,2023-08-12,2023,32,1417
75,2023-08-19,2023,33,1358
75,2023-08-26,2023,34,1450
75,2023-09-02,2023,35,1467
75,2023-09-09,2023,36,1461
75,2023-09-16,2023,37,1366
