year,month,region,dead,born
2023,8,Midwest,380,65200
2023,8,Northeast,200,51008
2023,8,South,793,132440
2023,8,West,337,73713
2023,9,Midwest,364,61568
2023,9,Northeast,185,48316
2023,9,South,778,125644
2023,9,West,318,69981
2023,10,Midwest,373,61738
2023,10,Northeast,210,49043
2023,10,South,818,127703
2023,10,West,290,70633
2023,11,Midwest,386,59793
2023,11,Northeast,203,47030
2023,11,South,721,123469
2023,11,West,296,67936
2023,12,Midwest,390,59476
2023,12,Northeast,210,46813
2023,12,South,850,123737
2023,12,West,304,68017
2024,1,Midwest,387,59698
2024,1,Northeast,208,47164
2024,1,South,775,122637
2024,1,West,320,67473
2024,2,Midwest,359,57807
2024,2,Northeast,197,44989
2024,2,South,736,115701
2024,2,West,319,64567
2024,3,Midwest,379,61141
2024,3,Northeast,225,48040
2024,3,South,815,119603
2024,3,West,329,69136
2024,4,Midwest,370,60437
2024,4,Northeast,201,46583
2024,4,South,741,115938
2024,4,West,340,66420
2024,5,Midwest,399,63370
2024,5,Northeast,192,49282
2024,5,South,827,121210
2024,5,West,311,69170
