group,date,age,dead
top17,2022-05,30,79
top17,2022-05,35,158
top17,2022-05,40,240
top17,2022-05,45,362
top17,2022-05,50,742
top17,2022-05,55,1302
top17,2022-05,60,2252
top17,2022-05,65,2912
top17,2022-05,70,3294
top17,2022-05,75,3516
top17,2022-05,80,2969
top17,2022-05,85,2366
top17,2022-05,90,1558
top17,2022-05,95,520
top17,2022-05,100,74
top17,2022-06,5,16
top17,2022-06,10,17
top17,2022-06,15,23
top17,2022-06,20,27
top17,2022-06,25,47
top17,2022-06,30,75
top17,2022-06,35,148
top17,2022-06,40,223
top17,2022-06,45,368
top17,2022-06,50,725
top17,2022-06,55,1249
top17,2022-06,60,2163
top17,2022-06,65,2778
top17,2022-06,70,3155
top17,2022-06,75,3238
top17,2022-06,80,2872
top17,2022-06,85,2320
top17,2022-06,90,1434
top17,2022-06,95,512
top17,2022-06,100,68
top17,2022-07,1,15
top17,2022-07,5,14
top17,2022-07,10,17
top17,2022-07,15,17
top17,2022-07,20,25
top17,2022-07,25,38
top17,2022-07,30,84
top17,2022-07,35,125
top17,2022-07,40,231
top17,2022-07,45,385
top17,2022-07,50,746
top17,2022-07,55,1349
top17,2022-07,60,2268
top17,2022-07,65,2869
top17,2022-07,70,3402
top17,2022-07,75,3516
top17,2022-07,80,3010
top17,2022-07,85,2397
top17,2022-07,90,1458
top17,2022-07,95,546
top17,2022-07,100,73
top17,2022-08,1,13
top17,2022-08,5,12
top17,2022-08,10,17
top17,2022-08,15,25
