type,date,dead
mcd_cancer_and_mcd_covid,2020-08-15,342
mcd_cancer_and_mcd_covid,2020-08-22,251
mcd_cancer_and_mcd_covid,2020-08-29,258
mcd_cancer_and_mcd_covid,2020-09-05,240
mcd_cancer_and_mcd_covid,2020-09-12,241
mcd_cancer_and_mcd_covid,2020-09-19,235
mcd_cancer_and_mcd_covid,2020-09-26,197
mcd_cancer_and_mcd_covid,2020-10-03,225
mcd_cancer_and_mcd_covid,2020-10-10,229
mcd_cancer_and_mcd_covid,2020-10-17,277
mcd_cancer_and_mcd_covid,2020-10-24,308
mcd_cancer_and_mcd_covid,2020-10-31,364
mcd_cancer_and_mcd_covid,2020-11-07,457
mcd_cancer_and_mcd_covid,2020-11-14,580
mcd_cancer_and_mcd_covid,2020-11-21,699
mcd_cancer_and_mcd_covid,2020-11-28,895
mcd_cancer_and_mcd_covid,2020-12-05,967
mcd_cancer_and_mcd_covid,2020-12-12,1109
mcd_cancer_and_mcd_covid,2020-12-19,1068
mcd_cancer_and_mcd_covid,2020-12-26,1226
mcd_cancer_and_mcd_covid,2021-01-02,1240
mcd_cancer_and_mcd_covid,2021-01-09,1228
mcd_cancer_and_mcd_covid,2021-01-16,1308
mcd_cancer_and_mcd_covid,2021-01-23,1257
mcd_cancer_and_mcd_covid,2021-01-30,1062
mcd_cancer_and_mcd_covid,2021-02-06,924
mcd_cancer_and_mcd_covid,2021-02-13,766
mcd_cancer_and_mcd_covid,2021-02-20,668
mcd_cancer_and_mcd_covid,2021-02-27,510
mcd_cancer_and_mcd_covid,2021-03-06,432
mcd_cancer_and_mcd_covid,2021-03-13,372
mcd_cancer_and_mcd_covid,2021-03-20,291
mcd_cancer_and_mcd_covid,2021-03-27,274
mcd_cancer_and_mcd_covid,2021-04-03,297
mcd_cancer_and_mcd_covid,2021-04-10,275
mcd_cancer_and_mcd_covid,2021-04-17,298
mcd_cancer_and_mcd_covid,2021-04-24,335
mcd_cancer_and_mcd_covid,2021-05-01,289
mcd_cancer_and_mcd_covid,2021-05-08,257
mcd_cancer_and_mcd_covid,2021-05-15,269
mcd_cancer_and_mcd_covid,2021-05-22,211
mcd_cancer_and_mcd_covid,2021-05-29,195
mcd_cancer_and_mcd_covid,2021-06-05,166
mcd_cancer_and_mcd_covid,2021-06-12,144
mcd_cancer_and_mcd_covid,2021-06-19,128
mcd_cancer_and_mcd_covid,2021-06-26,137
mcd_cancer_and_mcd_covid,2021-07-03,102
mcd_cancer_and_mcd_covid,2021-07-10,119
mcd_cancer_and_mcd_covid,2021-07-17,115
mcd_cancer_and_mcd_covid,2021-07-24,147
mcd_cancer_and_mcd_covid,2021-07-31,230
mcd_cancer_and_mcd_covid,2021-08-07,269
mcd_cancer_and_mcd_covid,2021-08-14,413
mcd_cancer_and_mcd_covid,2021-08-21,515
mcd_cancer_and_mcd_covid,2021-08-28,603
mcd_cancer_and_mcd_covid,2021-09-04,662
mcd_cancer_and_mcd_covid,2021-09-11,656
mcd_cancer_and_mcd_covid,2021-09-18,682
mcd_cancer_and_mcd_covid,2021-09-25,623
mcd_cancer_and_mcd_covid,2021-10-02,604
mcd_cancer_and_mcd_covid,2021-10-09,489
mcd_cancer_and_mcd_covid,2021-10-16,464
mcd_cancer_and_mcd_covid,2021-10-23,517
mcd_cancer_and_mcd_covid,2021-10-30,423
mcd_cancer_and_mcd_covid,2021-11-06,420
mcd_cancer_and_mcd_covid,2021-11-13,387
mcd_cancer_and_mcd_covid,2021-11-20,450
mcd_cancer_and_mcd_covid,2021-11-27,431
mcd_cancer_and_mcd_covid,2021-12-04,512
mcd_cancer_and_mcd_covid,2021-12-11,499
mcd_cancer_and_mcd_covid,2021-12-18,535
mcd_cancer_and_mcd_covid,2021-12-25,599
mcd_cancer_and_mcd_covid,2022-01-01,695
mcd_cancer_and_mcd_covid,2022-01-08,993
mcd_cancer_and_mcd_covid,2022-01-15,1419
mcd_cancer_and_mcd_covid,2022-01-22,1620
mcd_cancer_and_mcd_covid,2022-01-29,1682
mcd_cancer_and_mcd_covid,2022-02-05,1556
mcd_cancer_and_mcd_covid,2022-02-12,1414
mcd_cancer_and_mcd_covid,2022-02-19,1186
mcd_cancer_and_mcd_covid,2022-02-26,849
mcd_cancer_and_mcd_covid,2022-03-05,632
mcd_cancer_and_mcd_covid,2022-03-12,484
mcd_cancer_and_mcd_covid,2022-03-19,394
mcd_cancer_and_mcd_covid,2022-03-26,320
mcd_cancer_and_mcd_covid,2022-04-02,253
mcd_cancer_and_mcd_covid,2022-04-09,216
mcd_cancer_and_mcd_covid,2022-04-16,196
mcd_cancer_and_mcd_covid,2022-04-23,201
mcd_cancer_and_mcd_covid,2022-04-30,203
mcd_cancer_and_mcd_covid,2022-05-07,199
mcd_cancer_and_mcd_covid,2022-05-14,236
mcd_cancer_and_mcd_covid,2022-05-21,238
mcd_cancer_and_mcd_covid,2022-05-28,245
mcd_cancer_and_mcd_covid,2022-06-04,280
