type,cause,year,month,dead
and,D80-D89,2022,6,38
and,D80-D89,2022,7,66
and,D80-D89,2022,8,65
and,D80-D89,2022,9,52
and,D80-D89,2022,10,61
and,D80-D89,2022,11,48
and,D80-D89,2022,12,66
and,D80-D89,2023,1,82
and,D80-D89,2023,2,48
and,D80-D89,2023,3,40
and,D80-D89,2023,4,29
and,D80-D89,2023,5,29
and,D80-D89,2023,6,19
and,D80-D89,2023,7,17
and,D80-D89,2023,8,21
and,D80-D89,2023,9,32
and,D80-D89,2023,10,32
and,D80-D89,2023,11,36
and,D80-D89,2023,12,34
and,D80-D89,2024,1,58
and,D80-D89,2024,2,37
and,D80-D89,2024,3,20
and,D80-D89,2024,4,14
and,D80-D89,2024,5,12
and,D80-D89,2024,7,22
and,D80-D89,2024,8,28
and,D80-D89,2024,9,24
and,D80-D89,2024,10,18
