date,age,dead,pop
2012-04,15,117,6057675
2012-04,20,205,6318481
2012-04,25,290,7125766
2012-04,30,362,7939864
2012-04,35,532,9562986
2012-04,40,876,9424865
2012-04,45,1108,8061946
2012-04,50,1676,7648804
2012-04,55,2674,8109212
2012-04,60,5614,10499955
2012-04,65,6470,7971158
2012-04,70,9066,7300940
2012-04,75,13597,6206941
2012-04,80,17900,4565712
2012-04,85,18770,2711720
2012-04,90,13922,1115405
2012-04,95,7071,325945
2012-04,100,1711,49324
2012-05,0,264,5289195
2012-05,5,52,5432712
2012-05,10,41,5888981
2012-05,15,127,6055593
2012-05,20,220,6310241
2012-05,25,269,7111962
2012-05,30,328,7919854
2012-05,35,578,9538603
2012-05,40,877,9432635
2012-05,45,1157,8087053
2012-05,50,1748,7653070
2012-05,55,2785,8079667
2012-05,60,5512,10459457
2012-05,65,6404,8007602
2012-05,70,9009,7318981
2012-05,75,13028,6215733
2012-05,80,17380,4577174
2012-05,85,18226,2724088
2012-05,90,13223,1120835
2012-05,95,6350,326906
2012-05,100,1652,49635
2012-06,0,243,5285952
2012-06,5,36,5426285
2012-06,10,34,5884859
2012-06,15,101,6053717
2012-06,20,202,6301691
2012-06,25,265,7097730
2012-06,30,322,7899780
2012-06,35,513,9512949
2012-06,40,787,9439950
2012-06,45,1091,8113949
2012-06,50,1559,7657999
2012-06,55,2539,8049983
2012-06,60,5219,10414473
2012-06,65,6005,8048436
2012-06,70,8216,7337269
2012-06,75,11867,6224544
2012-06,80,15939,4589104
2012-06,85,16668,2736721
2012-06,90,11828,1126475
2012-06,95,5951,327846
2012-06,100,1510,49948
2012-07,0,239,5282589
2012-07,5,43,5420431
2012-07,10,33,5880582
2012-07,15,146,6052210
2012-07,20,206,6293407
2012-07,25,254,7083961
2012-07,30,326,7880830
2012-07,35,572,9487684
2012-07,40,859,9446945
2012-07,45,1082,8140229
2012-07,50,1726,7663187
2012-07,55,2687,8022123
2012-07,60,5318,10368768
2012-07,65,6337,8090244
2012-07,70,8561,7354483
2012-07,75,12332,6232802
2012-07,80,16457,4600708
2012-07,85,17247,2748832
2012-07,90,12479,1131937
2012-07,95,6130,328724
2012-07,100,1494,50245
2012-08,0,228,5278910
2012-08,5,30,5414775
2012-08,10,45,5875845
2012-08,15,136,6051014
2012-08,20,190,6284863
2012-08,25,277,7069711
2012-08,30,315,7861629
2012-08,35,581,9461127
2012-08,40,850,9454718
2012-08,45,1130,8166944
2012-08,50,1707,7668890
2012-08,55,2698,7994278
2012-08,60,5432,10320196
2012-08,65,6533,8134997
2012-08,70,8932,7371619
2012-08,75,12758,6241051
2012-08,80,17010,4612738
2012-08,85,17671,2761259
2012-08,90,13004,1137563
2012-08,95,6169,329619
2012-08,100,1560,50547
2012-09,0,251,5275052
2012-09,5,48,5409536
2012-09,10,43,5870764
2012-09,15,127,6050229
2012-09,20,205,6276362
2012-09,25,270,7055410
2012-09,30,318,7842701
2012-09,35,515,9434117
2012-09,40,806,9463688
2012-09,45,1075,8192499
2012-09,50,1549,7674852
2012-09,55,2496,7967440
2012-09,60,5079,10271174
2012-09,65,5936,8180498
2012-09,70,8240,7387943
2012-09,75,12113,6249009
2012-09,80,16049,4624784
2012-09,85,17050,2773628
2012-09,90,12423,1143144
2012-09,95,6097,330523
2012-09,100,1620,50846
2012-10,0,257,5271176
2012-10,5,44,5404876
2012-10,10,46,5865500
2012-10,15,117,6049901
2012-10,20,213,6268203
2012-10,25,253,7041496
2012-10,30,327,7824536
2012-10,35,578,9407550
2012-10,40,898,9474107
2012-10,45,1160,8215465
2012-10,50,1705,7680781
2012-10,55,2662,7942476
2012-10,60,5427,10224158
2012-10,65,6725,8224467
2012-10,70,9171,7402830
2012-10,75,13376,6256426
2012-10,80,18179,4636434
2012-10,85,19461,2785572
2012-10,90,13994,1148482
2012-10,95,6730,331426
2012-10,100,1773,51134
2012-11,0,264,5267078
2012-11,5,39,5400457
2012-11,10,43,5859712
2012-11,15,102,6049975
2012-11,20,168,6259900
2012-11,25,241,7027020
2012-11,30,338,7805871
2012-11,35,528,9379649
2012-11,40,831,9486864
2012-11,45,1147,8237138
2012-11,50,1701,7686984
2012-11,55,2705,7917754
2012-11,60,5475,10176360
2012-11,65,6809,8269400
2012-11,70,9377,7417349
2012-11,75,13820,6263761
2012-11,80,19446,4648436
2012-11,85,20843,2797905
2012-11,90,15119,1153938
2012-11,95,7261,332396
2012-11,100,1856,51432
2012-12,0,308,5263098
2012-12,5,37,5396500
2012-12,10,57,5853814
2012-12,15,102,6050339
2012-12,20,219,6252078
2012-12,25,284,7012906
2012-12,30,369,7787922
2012-12,35,582,9352194
2012-12,40,889,9500881
2012-12,45,1250,8256365
2012-12,50,1846,7692977
2012-12,55,2984,7894888
2012-12,60,5989,10130637
2012-12,65,7636,8312368
2012-12,70,10714,7430867
2012-12,75,15752,6270472
2012-12,80,21642,4659985
2012-12,85,23654,2809838
2012-12,90,16738,1159194
2012-12,95,8171,333364
2012-12,100,2069,51722
2013-01,0,261,5259051
2013-01,5,37,5392668
2013-01,10,46,5847457
2013-01,15,94,6050902
2013-01,20,225,6244311
2013-01,25,247,6998201
2013-01,30,363,7769508
2013-01,35,617,9323334
2013-01,40,961,9516803
2013-01,45,1297,8274706
2013-01,50,1954,7699072
2013-01,55,2963,7872372
2013-01,60,6221,10083676
2013-01,65,7754,8356220
2013-01,70,10551,7444614
2013-01,75,16328,6276933
2013-01,80,22677,4671816
2013-01,85,24389,2822170
2013-01,90,17833,1164641
2013-01,95,8653,334389
2013-01,100,2209,52025
2013-02,0,217,5255153
2013-02,5,39,5389025
2013-02,10,39,5840878
2013-02,15,89,6051536
2013-02,20,186,6236960
2013-02,25,231,6983362
