date,state,dead
2019-02,Ohio,9767
2019-02,Oklahoma,3414
2019-02,Oregon,2948
2019-02,Pennsylvania,10974
2019-02,Rhode Island,813
2019-02,South Carolina,4162
2019-02,South Dakota,669
2019-02,Tennessee,5862
2019-02,Texas,16235
2019-02,Utah,1462
2019-02,Vermont,498
2019-02,Virginia,5769
2019-02,Washington,4862
2019-02,West Virginia,1857
2019-02,Wisconsin,4242
2019-02,Wyoming,401
2019-03,Alabama,4755
2019-03,Alaska,429
2019-03,Arizona,5386
2019-03,Arkansas,3017
2019-03,California,24645
2019-03,Colorado,3545
2019-03,Connecticut,2898
2019-03,Delaware,817
2019-03,District of Columbia,401
2019-03,Florida,18122
2019-03,Georgia,7536
2019-03,Hawaii,1101
2019-03,Idaho,1285
2019-03,Illinois,9618
2019-03,Indiana,5883
2019-03,Iowa,2750
2019-03,Kansas,2531
2019-03,Kentucky,4461
2019-03,Louisiana,4060
2019-03,Maine,1420
2019-03,Maryland,4634
2019-03,Massachusetts,5187
2019-03,Michigan,8794
2019-03,Minnesota,3879
2019-03,Mississippi,2871
2019-03,Missouri,5601
2019-03,Montana,939
2019-03,Nebraska,1459
2019-03,Nevada,2264
2019-03,New Hampshire,1151
2019-03,New Jersey,6745
2019-03,New Mexico,1729
2019-03,New York,14079
2019-03,North Carolina,8415
2019-03,North Dakota,556
2019-03,Ohio,11198
2019-03,Oklahoma,3808
2019-03,Oregon,3441
2019-03,Pennsylvania,12117
2019-03,Rhode Island,944
2019-03,South Carolina,4486
2019-03,South Dakota,714
2019-03,Tennessee,6147
2019-03,Texas,17979
2019-03,Utah,1684
2019-03,Vermont,541
2019-03,Virginia,6287
2019-03,Washington,5328
2019-03,West Virginia,2115
2019-03,Wisconsin,4697
2019-03,Wyoming,480
2019-04,Alabama,4433
2019-04,Alaska,355
2019-04,Arizona,5039
2019-04,Arkansas,2712
2019-04,California,22248
2019-04,Colorado,3226
2019-04,Connecticut,2663
2019-04,Delaware,697
2019-04,District of Columbia,399
2019-04,Florida,17445
2019-04,Georgia,7167
2019-04,Hawaii,958
2019-04,Idaho,1232
2019-04,Illinois,8915
2019-04,Indiana,5482
2019-04,Iowa,2507
2019-04,Kansas,2206
2019-04,Kentucky,4095
2019-04,Louisiana,3701
2019-04,Maine,1283
2019-04,Maryland,4274
2019-04,Massachusetts,4889
2019-04,Michigan,8132
2019-04,Minnesota,3639
2019-04,Mississippi,2731
2019-04,Missouri,5005
2019-04,Montana,882
2019-04,Nebraska,1421
2019-04,Nevada,2219
2019-04,New Hampshire,1042
2019-04,New Jersey,5961
2019-04,New Mexico,1602
2019-04,New York,12757
2019-04,North Carolina,7984
2019-04,North Dakota,569
2019-04,Ohio,10200
2019-04,Oklahoma,3313
2019-04,Oregon,3110
2019-04,Pennsylvania,11061
