age,cause,state,date,dead
all,C00-C97,Delaware,2018-04,187
all,C00-C97,Delaware,2018-05,175
all,C00-C97,Delaware,2018-06,188
all,C00-C97,Delaware,2018-07,183
all,C00-C97,Delaware,2018-08,190
all,C00-C97,Delaware,2018-09,163
all,C00-C97,Delaware,2018-10,201
all,C00-C97,Delaware,2018-11,199
all,C00-C97,Delaware,2018-12,191
all,C00-C97,Delaware,2019-01,211
all,C00-C97,Delaware,2019-02,167
all,C00-C97,Delaware,2019-03,189
all,C00-C97,Delaware,2019-04,173
all,C00-C97,Delaware,2019-05,201
all,C00-C97,Delaware,2019-06,166
all,C00-C97,Delaware,2019-07,179
all,C00-C97,Delaware,2019-08,195
all,C00-C97,Delaware,2019-09,211
all,C00-C97,Delaware,2019-10,186
all,C00-C97,Delaware,2019-11,175
all,C00-C97,Delaware,2019-12,166
all,C00-C97,Delaware,2020-01,172
all,C00-C97,Delaware,2020-02,193
all,C00-C97,Delaware,2020-03,212
all,C00-C97,Delaware,2020-04,198
all,C00-C97,Delaware,2020-05,202
all,C00-C97,Delaware,2020-06,184
all,C00-C97,Delaware,2020-07,216
all,C00-C97,Delaware,2020-08,204
all,C00-C97,Delaware,2020-09,189
all,C00-C97,Delaware,2020-10,222
all,C00-C97,Delaware,2020-11,166
all,C00-C97,Delaware,2020-12,240
all,C00-C97,Delaware,2021-01,224
all,C00-C97,Delaware,2021-02,184
all,C00-C97,Delaware,2021-03,193
all,C00-C97,Delaware,2021-04,196
all,C00-C97,Delaware,2021-05,221
all,C00-C97,Delaware,2021-06,195
all,C00-C97,Delaware,2021-07,198
all,C00-C97,Delaware,2021-08,219
all,C00-C97,Delaware,2021-09,213
all,C00-C97,Delaware,2021-10,207
all,C00-C97,Delaware,2021-11,183
all,C00-C97,Delaware,2021-12,227
all,C00-C97,Delaware,2022-01,234
all,C00-C97,Delaware,2022-02,217
all,C00-C97,Delaware,2022-03,224
all,C00-C97,Delaware,2022-04,232
all,C00-C97,Delaware,2022-05,205
all,C00-C97,Delaware,2022-06,212
all,C00-C97,Delaware,2022-07,236
all,C00-C97,Delaware,2022-08,210
all,C00-C97,Delaware,2022-09,219
all,C00-C97,Delaware,2022-10,234
all,C00-C97,Delaware,2022-11,258
all,C00-C97,Delaware,2022-12,215
all,C00-C97,Delaware,2023-01,216
all,C00-C97,Delaware,2023-02,217
all,C00-C97,Delaware,2023-03,214
all,C00-C97,Delaware,2023-04,228
all,C00-C97,Delaware,2023-05,211
all,C00-C97,Delaware,2023-06,228
all,C00-C97,Delaware,2023-07,210
all,C00-C97,Delaware,2023-08,184
all,C00-C97,Delaware,2023-09,202
all,C00-C97,Delaware,2023-10,225
all,C00-C97,Delaware,2023-11,216
all,C00-C97,Delaware,2023-12,248
all,C00-C97,Delaware,2024-01,269
all,C00-C97,Delaware,2024-02,201
all,C00-C97,Delaware,2024-03,202
all,C00-C97,Delaware,2024-04,188
all,C00-C97,Delaware,2024-05,222
all,C00-C97,Delaware,2024-06,216
