location,age,dose,month,dead,pop
Makinohara/Shizuoka,all,4,2023-07,8,287865
Makinohara/Shizuoka,all,5,2023-07,16,170491
Makinohara/Shizuoka,all,6,2023-07,11,228219
Makinohara/Shizuoka,all,7,2023-07,0,0
Makinohara/Shizuoka,80over,0,2023-08,1,5379
Makinohara/Shizuoka,80over,1,2023-08,0,310
Makinohara/Shizuoka,80over,2,2023-08,0,3255
Makinohara/Shizuoka,80over,3,2023-08,0,7378
Makinohara/Shizuoka,80over,4,2023-08,3,11280
Makinohara/Shizuoka,80over,5,2023-08,5,30976
Makinohara/Shizuoka,80over,6,2023-08,7,72210
Makinohara/Shizuoka,80over,7,2023-08,0,0
Makinohara/Shizuoka,all,0,2023-08,3,155521
Makinohara/Shizuoka,all,1,2023-08,0,3209
Makinohara/Shizuoka,all,2,2023-08,2,154121
Makinohara/Shizuoka,all,3,2023-08,1,222757
Makinohara/Shizuoka,all,4,2023-08,8,286376
Makinohara/Shizuoka,all,5,2023-08,12,160859
Makinohara/Shizuoka,all,6,2023-08,14,238447
Makinohara/Shizuoka,all,7,2023-08,0,0
Makinohara/Shizuoka,80over,0,2023-09,1,5154
Makinohara/Shizuoka,80over,1,2023-09,0,310
Makinohara/Shizuoka,80over,2,2023-09,1,3137
Makinohara/Shizuoka,80over,3,2023-09,0,7140
Makinohara/Shizuoka,80over,4,2023-09,3,10719
Makinohara/Shizuoka,80over,5,2023-09,9,28955
Makinohara/Shizuoka,80over,6,2023-09,2,68480
Makinohara/Shizuoka,80over,7,2023-09,0,2083
Makinohara/Shizuoka,all,0,2023-09,3,150365
Makinohara/Shizuoka,all,1,2023-09,0,3105
Makinohara/Shizuoka,all,2,2023-09,1,149052
Makinohara/Shizuoka,all,3,2023-09,4,215515
Makinohara/Shizuoka,all,4,2023-09,8,276422
Makinohara/Shizuoka,all,5,2023-09,18,152282
Makinohara/Shizuoka,all,6,2023-09,7,227398
Makinohara/Shizuoka,all,7,2023-09,0,6478
Makinohara/Shizuoka,80over,0,2023-10,1,5276
Makinohara/Shizuoka,80over,1,2023-10,0,321
Makinohara/Shizuoka,80over,2,2023-10,0,3244
Makinohara/Shizuoka,80over,3,2023-10,4,7282
Makinohara/Shizuoka,80over,4,2023-10,4,10735
Makinohara/Shizuoka,80over,5,2023-10,6,27809
Makinohara/Shizuoka,80over,6,2023-10,13,48614
Makinohara/Shizuoka,80over,7,2023-10,1,26199
Makinohara/Shizuoka,all,0,2023-10,5,155197
Makinohara/Shizuoka,all,1,2023-10,1,3198
Makinohara/Shizuoka,all,2,2023-10,1,153951
Makinohara/Shizuoka,all,3,2023-10,6,222435
Makinohara/Shizuoka,all,4,2023-10,10,283714
Makinohara/Shizuoka,all,5,2023-10,8,150766
Makinohara/Shizuoka,all,6,2023-10,26,166408
Makinohara/Shizuoka,all,7,2023-10,2,82694
Makinohara/Shizuoka,80over,0,2023-11,2,5087
Makinohara/Shizuoka,80over,1,2023-11,0,300
Makinohara/Shizuoka,80over,2,2023-11,1,3132
Makinohara/Shizuoka,80over,3,2023-11,2,6774
Makinohara/Shizuoka,80over,4,2023-11,4,9892
Makinohara/Shizuoka,80over,5,2023-11,4,23660
Makinohara/Shizuoka,80over,6,2023-11,10,28630
Makinohara/Shizuoka,80over,7,2023-11,5,47102
Makinohara/Shizuoka,all,0,2023-11,8,149946
Makinohara/Shizuoka,all,1,2023-11,0,3097
Makinohara/Shizuoka,all,2,2023-11,3,148826
Makinohara/Shizuoka,all,3,2023-11,3,214469
Makinohara/Shizuoka,all,4,2023-11,8,268991
Makinohara/Shizuoka,all,5,2023-11,13,135002
Makinohara/Shizuoka,all,6,2023-11,17,104128
Makinohara/Shizuoka,all,7,2023-11,7,152986
Makinohara/Shizuoka,80over,0,2023-12,3,5150
Makinohara/Shizuoka,80over,1,2023-12,0,310
Makinohara/Shizuoka,80over,2,2023-12,0,3211
Makinohara/Shizuoka,80over,3,2023-12,5,6797
Makinohara/Shizuoka,80over,4,2023-12,3,9899
Makinohara/Shizuoka,80over,5,2023-12,8,22740
Makinohara/Shizuoka,80over,6,2023-12,7,22380
Makinohara/Shizuoka,80over,7,2023-12,12,57161
Makinohara/Shizuoka,all,0,2023-12,4,154740
Makinohara/Shizuoka,all,1,2023-12,0,3169
Makinohara/Shizuoka,all,2,2023-12,3,153667
Makinohara/Shizuoka,all,3,2023-12,10,220897
Makinohara/Shizuoka,all,4,2023-12,7,273351
Makinohara/Shizuoka,all,5,2023-12,11,134634
Makinohara/Shizuoka,all,6,2023-12,13,84853
Makinohara/Shizuoka,all,7,2023-12,15,189484
Makinohara/Shizuoka,80over,0,2024-01,1,5086
Makinohara/Shizuoka,80over,1,2024-01,0,310
Makinohara/Shizuoka,80over,2,2024-01,3,3137
Makinohara/Shizuoka,80over,3,2024-01,1,6716
Makinohara/Shizuoka,80over,4,2024-01,3,9714
Makinohara/Shizuoka,80over,5,2024-01,12,22231
Makinohara/Shizuoka,80over,6,2024-01,4,21532
Makinohara/Shizuoka,80over,7,2024-01,4,57834
Makinohara/Shizuoka,all,0,2024-01,4,154615
Makinohara/Shizuoka,all,1,2024-01,0,3162
Makinohara/Shizuoka,all,2,2024-01,5,153474
Makinohara/Shizuoka,all,3,2024-01,8,220552
Makinohara/Shizuoka,all,4,2024-01,10,272209
Makinohara/Shizuoka,all,5,2024-01,16,133675
Makinohara/Shizuoka,all,6,2024-01,9,82518
Makinohara/Shizuoka,all,7,2024-01,9,192567
Makinohara/Shizuoka,80over,0,2024-02,1,4749
Makinohara/Shizuoka,80over,1,2024-02,0,290
Makinohara/Shizuoka,80over,2,2024-02,0,2900
Makinohara/Shizuoka,80over,3,2024-02,1,6219
Makinohara/Shizuoka,80over,4,2024-02,3,9039
Makinohara/Shizuoka,80over,5,2024-02,4,20475
Makinohara/Shizuoka,80over,6,2024-02,6,19569
Makinohara/Shizuoka,80over,7,2024-02,10,54519
Makinohara/Shizuoka,all,0,2024-02,4,144510
Makinohara/Shizuoka,all,1,2024-02,1,2973
